geoid,name,median_income,median_age,total_pop
94538,ZCTA5 94538,112473,35.7,67474
94559,ZCTA5 94559,76961,38.5,27593
94578,ZCTA5 94578,66450,35.2,41865
94580,ZCTA5 94580,96493,37.8,30488
92386,ZCTA5 92386,41840,45.1,2248
92397,ZCTA5 92397,68640,40.9,4562
92549,ZCTA5 92549,78977,56,2517
92563,ZCTA5 92563,96929,32.1,69469
92591,ZCTA5 92591,88034,35,41609
92610,ZCTA5 92610,129270,36.3,16360
95454,ZCTA5 95454,36907,50.4,2107
95456,ZCTA5 95456,40481,60.5,838
95459,ZCTA5 95459,53125,42.6,641
95464,ZCTA5 95464,48808,45.2,2505
95493,ZCTA5 95493,63358,68.5,377
95525,ZCTA5 95525,49375,50.3,1401
95526,ZCTA5 95526,33571,62.7,196
95548,ZCTA5 95548,38977,45.8,1251
95555,ZCTA5 95555,35938,41.7,437
95570,ZCTA5 95570,50278,46.4,2338
95573,ZCTA5 95573,66731,37.6,1568
91316,ZCTA5 91316,76978,41.3,30499
91504,ZCTA5 91504,83994,38.6,26749
91724,ZCTA5 91724,82976,40.4,26717
91103,ZCTA5 91103,71231,38.2,27659
91008,ZCTA5 91008,96500,53.8,1084
91046,ZCTA5 91046,NA,83.2,158
91210,ZCTA5 91210,135741,35.1,529
91330,ZCTA5 91330,NA,19.8,3257
91371,ZCTA5 91371,NA,NA,0
91387,ZCTA5 91387,98371,34.5,42034
91390,ZCTA5 91390,120617,41.7,19168
91708,ZCTA5 91708,85545,34.7,4009
91915,ZCTA5 91915,115435,33.4,33485
92335,ZCTA5 92335,53099,29.3,99306
92371,ZCTA5 92371,57692,38.1,18269
92372,ZCTA5 92372,54493,41.5,6071
92392,ZCTA5 92392,62961,30.9,58393
92505,ZCTA5 92505,70854,31.6,53282
92401,ZCTA5 92401,22500,27.4,2257
92408,ZCTA5 92408,42595,33.1,13635
92504,ZCTA5 92504,63581,33.2,59896
92506,ZCTA5 92506,98111,38.7,46241
92509,ZCTA5 92509,68210,31.2,81383
92539,ZCTA5 92539,43036,47,4557
92543,ZCTA5 92543,33319,35.2,38314
92586,ZCTA5 92586,40757,59.8,19472
92592,ZCTA5 92592,105279,36.1,84930
92618,ZCTA5 92618,107353,33.9,48997
92625,ZCTA5 92625,155372,55.6,12394
92679,ZCTA5 92679,175027,43.5,32657
92688,ZCTA5 92688,116064,37.4,44832
92708,ZCTA5 92708,92301,44.2,56953
92806,ZCTA5 92806,68973,34.4,39442
92843,ZCTA5 92843,63248,37.4,46873
92870,ZCTA5 92870,94908,37.5,53600
92004,ZCTA5 92004,49744,62.6,2299
92007,ZCTA5 92007,111901,45.3,11417
92037,ZCTA5 92037,109194,45.3,38168
92020,ZCTA5 92020,59151,35.1,59743
92025,ZCTA5 92025,58273,33,52985
92027,ZCTA5 92027,65989,34.3,56788
92065,ZCTA5 92065,98366,40.4,37505
92256,ZCTA5 92256,53500,50.1,3100
92283,ZCTA5 92283,22100,32.9,1684
92328,ZCTA5 92328,43750,41.4,438
92363,ZCTA5 92363,33942,42.3,5348
92008,ZCTA5 92008,84671,42.1,27151
92036,ZCTA5 92036,56284,56.9,2593
92106,ZCTA5 92106,103840,38.8,20155
92108,ZCTA5 92108,75296,31.9,22280
92109,ZCTA5 92109,80467,32.1,47111
92121,ZCTA5 92121,107786,31.8,4729
92128,ZCTA5 92128,103238,44,51357
92227,ZCTA5 92227,43061,30.9,27189
92249,ZCTA5 92249,47021,30.1,7861
92257,ZCTA5 92257,20976,50.9,1281
92264,ZCTA5 92264,53778,59.7,20072
92277,ZCTA5 92277,43080,26.8,23172
92301,ZCTA5 92301,44574,27.7,34250
92315,ZCTA5 92315,51155,43.7,5247
92105,ZCTA5 92105,43282,31.5,73623
92107,ZCTA5 92107,85299,35.8,31223
92624,ZCTA5 92624,98689,53.7,6372
92629,ZCTA5 92629,99838,49.6,26877
92649,ZCTA5 92649,100341,45,35278
92701,ZCTA5 92701,52372,29.5,55058
92675,ZCTA5 92675,94429,40.8,38803
92683,ZCTA5 92683,62617,41.8,91105
92691,ZCTA5 92691,117517,43.5,50839
92706,ZCTA5 92706,70201,33.2,35748
92808,ZCTA5 92808,128378,42.7,20483
92882,ZCTA5 92882,80424,35.1,73250
92887,ZCTA5 92887,139872,45.2,20012
92327,ZCTA5 92327,31058,51.5,737
92307,ZCTA5 92307,60732,35.9,39149
92003,ZCTA5 92003,80844,45.1,5160
92021,ZCTA5 92021,58414,34.7,70148
92059,ZCTA5 92059,96806,37.6,1464
92024,ZCTA5 92024,116616,43.1,51381
92028,ZCTA5 92028,74708,40.1,48173
92070,ZCTA5 92070,55417,50.8,786
92071,ZCTA5 92071,87334,38.2,57710
92101,ZCTA5 92101,71925,38.5,41159
92110,ZCTA5 92110,73651,33,30108
92111,ZCTA5 92111,74217,35.6,50693
